,Match_URL,Map_Name,Map_ID,Duration,Team_1,URL_1,Score_1,Attacking_Score_1,Defending_Score_1,Team_2,URL_2,Score_2,Attacking_Score_2,Defending_Score_2
6382,/98210/f4q-vs-wnf-esports-champions-tour-korea-stage-2-challengers-open-qualifier-ro24-winners-e,Bind,82567,46:36,F4Q,/team/1670/f4q,13,5,8,WNF Esports,/team/8103/wnf-esports,7,4,3
6383,/98210/f4q-vs-wnf-esports-champions-tour-korea-stage-2-challengers-open-qualifier-ro24-winners-e,Split,82568,44:38,F4Q,/team/1670/f4q,13,7,6,WNF Esports,/team/8103/wnf-esports,6,1,5
6384,/96356/orangutan-female-vs-alter-ego-celeste-champions-tour-game-changers-asia-pacific-open-3-lr2,Fracture,80926,44:16,Orangutan X,/team/8433/orangutan-x,8,3,5,Alter Ego Celeste,/team/3412/alter-ego-celeste,13,4,9
6385,/96356/orangutan-female-vs-alter-ego-celeste-champions-tour-game-changers-asia-pacific-open-3-lr2,Ascent,80927,1:08:29,Orangutan X,/team/8433/orangutan-x,17,9,3,Alter Ego Celeste,/team/3412/alter-ego-celeste,15,9,3
6386,/96356/orangutan-female-vs-alter-ego-celeste-champions-tour-game-changers-asia-pacific-open-3-lr2,Haven,80928,51:18,Orangutan X,/team/8433/orangutan-x,11,6,5,Alter Ego Celeste,/team/3412/alter-ego-celeste,13,7,6
6387,/96357/bigg-scythe-vs-team-smg-champions-tour-game-changers-asia-pacific-open-3-lr2,Haven,80929,40:45,BIGG SCYTHE,/team/5523/bigg-scythe,6,2,4,Team SMG GC,/team/8240/team-smg-gc,13,8,5
6388,/96357/bigg-scythe-vs-team-smg-champions-tour-game-changers-asia-pacific-open-3-lr2,Fracture,80930,31:46,BIGG SCYTHE,/team/5523/bigg-scythe,4,3,1,Team SMG GC,/team/8240/team-smg-gc,13,4,9
6389,/97193/nyfu-vs-soar-champions-tour-north-america-stage-2-challengers-uro16,Breeze,81803,44:09,NYFU,/team/8370/nyfu,13,6,7,SoaR,/team/4345/soar,10,5,5
6390,/97193/nyfu-vs-soar-champions-tour-north-america-stage-2-challengers-uro16,Split,81804,33:54,NYFU,/team/8370/nyfu,13,8,5,SoaR,/team/4345/soar,5,1,4
6391,/97207/gen-g-vs-lenny-time-champions-tour-north-america-stage-2-challengers-lr1,Breeze,81845,51:38,Gen.G,/team/17/gen-g,14,6,6,Lenny Time,/team/6045/lenny-time,12,6,6
6392,/97207/gen-g-vs-lenny-time-champions-tour-north-america-stage-2-challengers-lr1,Bind,81846,41:07,Gen.G,/team/17/gen-g,13,9,4,Lenny Time,/team/6045/lenny-time,11,8,3
6393,/97199/darkzero-esports-vs-virtuoso-champions-tour-north-america-stage-2-challengers-uro16,Ascent,81821,53:47,DarkZero Esports,/team/4346/darkzero-esports,14,8,4,VIRTUOSO,/team/2348/virtuoso,12,8,4
6394,/97199/darkzero-esports-vs-virtuoso-champions-tour-north-america-stage-2-challengers-uro16,Icebox,81822,37:54,DarkZero Esports,/team/4346/darkzero-esports,13,6,7,VIRTUOSO,/team/2348/virtuoso,7,5,2
6395,/97198/knights-vs-moon-raccoons-champions-tour-north-america-stage-2-challengers-uro16,Ascent,81818,34:54,Knights,/team/1615/knights,13,10,3,Moon Raccoons,/team/793/moon-raccoons,4,2,2
6396,/97198/knights-vs-moon-raccoons-champions-tour-north-america-stage-2-challengers-uro16,Haven,81819,1:01:02,Knights,/team/1615/knights,15,8,4,Moon Raccoons,/team/793/moon-raccoons,13,8,4
6397,/97212/aspyre-vs-yfp-gaming-champions-tour-north-america-stage-2-challengers-lr1,Split,81860,28:19,Aspyre,/team/6859/aspyre,3,3,0,YFP Gaming,/team/5038/yfp-gaming,13,4,9
6398,/97212/aspyre-vs-yfp-gaming-champions-tour-north-america-stage-2-challengers-lr1,Ascent,81861,50:03,Aspyre,/team/6859/aspyre,13,4,8,YFP Gaming,/team/5038/yfp-gaming,15,4,8
6399,/97195/built-by-gamers-academy-vs-cosmic-divide-champions-tour-north-america-stage-2-challengers-uro16,Split,81809,45:14,Built By Gamers Academy,/team/6451/built-by-gamers-academy,13,9,4,Cosmic Divide,/team/4388/cosmic-divide,9,8,1
6400,/97195/built-by-gamers-academy-vs-cosmic-divide-champions-tour-north-america-stage-2-challengers-uro16,Icebox,81810,43:31,Built By Gamers Academy,/team/6451/built-by-gamers-academy,10,8,2,Cosmic Divide,/team/4388/cosmic-divide,13,9,4
6401,/97195/built-by-gamers-academy-vs-cosmic-divide-champions-tour-north-america-stage-2-challengers-uro16,Ascent,81811,47:45,Built By Gamers Academy,/team/6451/built-by-gamers-academy,13,5,8,Cosmic Divide,/team/4388/cosmic-divide,11,4,7
6402,/97209/complexity-vs-nights-academy-champions-tour-north-america-stage-2-challengers-lr1,Haven,81851,30:22,Complexity,/team/470/complexity,13,12,1,Flex Gaming,/team/8460/flex-gaming,5,5,0
6403,/97209/complexity-vs-nights-academy-champions-tour-north-america-stage-2-challengers-lr1,Breeze,81852,28:09,Complexity,/team/470/complexity,13,1,12,Flex Gaming,/team/8460/flex-gaming,4,0,4
6404,/97197/evil-geniuses-vs-ghost-gaming-champions-tour-north-america-stage-2-challengers-uro16,Ascent,81815,37:21,Evil Geniuses,/team/5248/evil-geniuses,6,3,3,Ghost Gaming,/team/2291/ghost-gaming,13,9,4
6405,/97197/evil-geniuses-vs-ghost-gaming-champions-tour-north-america-stage-2-challengers-uro16,Icebox,81816,50:05,Evil Geniuses,/team/5248/evil-geniuses,13,9,4,Ghost Gaming,/team/2291/ghost-gaming,11,8,3
6406,/97197/evil-geniuses-vs-ghost-gaming-champions-tour-north-america-stage-2-challengers-uro16,Split,81817,33:05,Evil Geniuses,/team/5248/evil-geniuses,13,9,4,Ghost Gaming,/team/2291/ghost-gaming,4,1,3
6407,/97194/sentinels-vs-akrew-champions-tour-north-america-stage-2-challengers-uro16,Icebox,81806,50:06,Sentinels,/team/2/sentinels,10,5,5,Akrew,/team/6461/akrew,13,7,6
6408,/97194/sentinels-vs-akrew-champions-tour-north-america-stage-2-challengers-uro16,Bind,81807,1:00:14,Sentinels,/team/2/sentinels,13,8,4,Akrew,/team/6461/akrew,15,8,4
6409,/97192/100-thieves-vs-soniqs-champions-tour-north-america-stage-2-challengers-uro16,Breeze,81800,35:26,100 Thieves,/team/120/100-thieves,13,5,8,Soniqs,/team/2350/soniqs,4,4,0
6410,/97192/100-thieves-vs-soniqs-champions-tour-north-america-stage-2-challengers-uro16,Fracture,81801,32:58,100 Thieves,/team/120/100-thieves,13,11,2,Soniqs,/team/2350/soniqs,3,2,1
6411,/97196/version1-vs-girl-kissers-champions-tour-north-america-stage-2-challengers-uro16,Haven,81812,43:07,Version1,/team/2815/version1,11,5,6,Girl Kissers,/team/7854/girl-kissers,13,6,7
6412,/97206/t1-vs-team-reckaroo-champions-tour-north-america-stage-2-challengers-lr1,Icebox,81842,44:29,T1,/team/14/t1,13,4,9,Team Reckaroo,/team/3748/team-reckaroo,10,2,8
6413,/97206/t1-vs-team-reckaroo-champions-tour-north-america-stage-2-challengers-lr1,Ascent,81843,29:22,T1,/team/14/t1,13,3,10,Team Reckaroo,/team/3748/team-reckaroo,3,2,1
6414,/97176/100-thieves-vs-team-reckaroo-champions-tour-north-america-stage-2-challengers-uro32,Haven,81752,32:39,100 Thieves,/team/120/100-thieves,13,4,9,Team Reckaroo,/team/3748/team-reckaroo,6,3,3
