,Match_URL,Tournament,Team_1,Score_1,Team_2,Score_2
41,/211913/aster-army-vs-reckoning-esports-challengers-league-south-asia-split-2-lbf,Challengers League South Asia: Split 2,Aster Army,0,Reckoning Esports,2
42,/219744/bonkers-vs-xyz-challengers-league-oceania-split-2-regional-playoffs-lf,Challengers League Oceania: Split 2,Bonkers,2,xyz,1
43,/212536/the-guard-vs-oxygen-esports-challengers-league-north-america-lr3,Challengers League: North America,The Guard,2,Oxygen Esports,0
44,/212530/m80-vs-moist-moguls-challengers-league-north-america-ubf,Challengers League: North America,M80,2,Moist Moguls,0
45,/217614/enterprise-esports-vs-acend-challengers-league-east-surge-split-2-ubsf,Challengers League East Surge: Split 2,Enterprise Esports,1,Acend,2
46,/220994/team-raad-vs-nasr-esports-challengers-league-mena-resilience-lan-finals-lf,Challengers League MENA Resilience: LAN Finals,Team RA'AD,3,NASR Esports,0
47,/214674/gentle-mates-vs-wylde-challengers-league-france-revolution-split-2-sf,Challengers League France Revolution: Split 2,Gentle Mates,3,WYLDE,1
48,/217613/anonymo-esports-vs-diamant-esports-challengers-league-east-surge-split-2-ubsf,Challengers League East Surge: Split 2,Anonymo Esports,0,Diamant Esports,2
49,/211912/orangutan-vs-aster-army-challengers-league-south-asia-split-2-ubf,Challengers League South Asia: Split 2,Orangutan,2,Aster Army,0
50,/219739/bonkers-vs-nerdpunt-challengers-league-oceania-split-2-regional-playoffs-uf,Challengers League Oceania: Split 2,Bonkers,0,NerdPunt,2
51,/219743/xyz-vs-koopa-troopas-challengers-league-oceania-split-2-regional-playoffs-lr2,Challengers League Oceania: Split 2,xyz,2,Koopa Troopas,0
52,/222203/ge-fighting-vs-velocity-gaming-challengers-league-south-asia-split-2-showmatch,Challengers League South Asia: Split 2,GE Fighting,2,Velocity Gaming,0
53,/212535/oxygen-esports-vs-faze-clan-challengers-league-north-america-lr2,Challengers League: North America,Oxygen Esports,2,FaZe Clan,0
54,/212534/the-guard-vs-g2-esports-challengers-league-north-america-lr2,Challengers League: North America,The Guard,2,G2 Esports,0
55,/220992/nasr-esports-vs-triple-esports-club-challengers-league-mena-resilience-lan-finals-lr1,Challengers League MENA Resilience: LAN Finals,NASR Esports,2,Triple Esports Club,0
56,/214673/joblife-vs-zerance-challengers-league-france-revolution-split-2-qf,Challengers League France Revolution: Split 2,Joblife,1,Zerance,2
57,/220993/team-falcons-vs-team-raad-challengers-league-mena-resilience-lan-finals-uf,Challengers League MENA Resilience: LAN Finals,Team Falcons,2,Team RA'AD,1
58,/214672/wylde-vs-valiant-challengers-league-france-revolution-split-2-qf,Challengers League France Revolution: Split 2,WYLDE,2,VALIANT,0
59,/211911/gods-reign-vs-reckoning-esports-challengers-league-south-asia-split-2-lr2,Challengers League South Asia: Split 2,Gods Reign,0,Reckoning Esports,2
60,/220991/team-raad-vs-triple-esports-club-challengers-league-mena-resilience-lan-finals-ubsf,Challengers League MENA Resilience: LAN Finals,Team RA'AD,2,Triple Esports Club,0
61,/220990/team-falcons-vs-nasr-esports-challengers-league-mena-resilience-lan-finals-ubsf,Challengers League MENA Resilience: LAN Finals,Team Falcons,2,NASR Esports,1
62,/214690/ucam-tokiers-vs-team-queso-challengers-league-spain-rising-split-2-sf,Challengers League Spain Rising: Split 2,UCAM Tokiers,0,Team Queso,3
63,/211910/true-rippers-vs-reckoning-esports-challengers-league-south-asia-split-2-lr1,Challengers League South Asia: Split 2,True Rippers,1,Reckoning Esports,2
64,/206810/oresports-vs-mad-lions-challengers-league-north-america-decider,Challengers League: North America,OREsports,2,MAD Lions,1
65,/206809/mad-lions-vs-disguised-challengers-league-north-america-elim,Challengers League: North America,MAD Lions,2,Disguised,0
66,/216236/galatasaray-esports-vs-digital-athletics-challengers-league-turkey-birlik-split-2-playoffs-lf,Challengers League Turkey Birlik: Split 2,Galatasaray Esports,1,Digital Athletics,3
67,/214689/case-esports-vs-zeta-gaming-challengers-league-spain-rising-split-2-sf,Challengers League Spain Rising: Split 2,Case Esports,3,ZETA Gaming,1
68,/211909/gods-reign-vs-revenant-esports-challengers-league-south-asia-split-2-lr1,Challengers League South Asia: Split 2,Gods Reign,2,Revenant Esports,1
69,/206808/turtle-troop-vs-oresports-challengers-league-north-america-winners,Challengers League: North America,Turtle Troop,2,OREsports,0
70,/206806/turtle-troop-vs-mad-lions-challengers-league-north-america-opening,Challengers League: North America,Turtle Troop,2,MAD Lions,0
71,/213484/the-union-vs-00nation-challengers-league-brazil-split-2-gf,Challengers League Brazil: Split 2,The Union,3,00Nation,0
72,/206807/disguised-vs-oresports-challengers-league-north-america-opening,Challengers League: North America,Disguised,0,OREsports,2
73,/216231/galatasaray-esports-vs-s2g-esports-challengers-league-turkey-birlik-split-2-playoffs-uf,Challengers League Turkey Birlik: Split 2,Galatasaray Esports,1,S2G Esports,2
74,/220101/apeks-vs-fokus-challengers-league-northern-europe-polaris-split-2-playoffs-gf,Challengers League Northern Europe Polaris: Split 2,Apeks,3,FOKUS,1
75,/216235/galakticos-vs-digital-athletics-challengers-league-turkey-birlik-split-2-playoffs-lr2,Challengers League Turkey Birlik: Split 2,Galakticos,0,Digital Athletics,2
76,/213124/full-sense-vs-xerxia-esports-challengers-league-thailand-split-2-gf,Challengers League Thailand: Split 2,FULL SENSE,1,XERXIA Esports,3
77,/211908/aster-army-vs-gods-reign-challengers-league-south-asia-split-2-ubsf,Challengers League South Asia: Split 2,Aster Army,2,Gods Reign,0
78,/220100/les-petits-bouffons-vs-fokus-challengers-league-northern-europe-polaris-split-2-playoffs-sf,Challengers League Northern Europe Polaris: Split 2,Les Petits Bouffons,0,FOKUS,2
79,/213132/one-team-esports-vs-anti-eco-eco-club-challengers-league-taiwan-hong-kong-split-2-gf,Challengers League Taiwan/Hong Kong: Split 2,ONE Team Esports,3,Anti Eco Eco Club,0
80,/213126/xerxia-esports-vs-made-in-thailand-challengers-league-thailand-split-2-lf,Challengers League Thailand: Split 2,XERXIA Esports,2,Made in Thailand,1
81,/219750/fancy-united-esports-vs-lazy-challengers-league-vietnam-split-2-gf,Challengers League Vietnam: Split 2,Fancy United Esports,3,LAZY,2
82,/219742/the-who-vs-koopa-troopas-challengers-league-oceania-split-2-regional-playoffs-lr1,Challengers League Oceania: Split 2,The Who?,0,Koopa Troopas,2
83,/214831/dominatus-vs-boom-esports-challengers-league-indonesia-split-2-gf,Challengers League Indonesia: Split 2,Dominatus,1,BOOM Esports,3
84,/181482/oasis-gaming-vs-naos-challengers-league-philippines-split-2-playoffs-gf,Challengers League Philippines: Split 2,Oasis Gaming,2,NAOS,3
85,/219741/funcrew-vs-xyz-challengers-league-oceania-split-2-regional-playoffs-lr1,Challengers League Oceania: Split 2,Funcrew,0,xyz,2
86,/219752/lazy-vs-tim-t-i-tr-challengers-league-vietnam-split-2-lf,Challengers League Vietnam: Split 2,LAZY,2,Tim Tài Trơ,1
